stage,epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,time_sec
1,1,0.7829647672585189,0.703864997278171,0.6475133837531551,0.7236426237740036,0.6921824104234527,0.577918989930213,0.001,269.1599991321564
1,2,0.5505940490724214,0.8089275993467611,0.778868934043897,0.5450498882062272,0.7768729641693811,0.7595622240531771,0.001,226.9242649078369
1,3,0.4684753909050023,0.8421339139902014,0.8229182428744849,0.5208042094101735,0.7850162866449512,0.7740143919363272,0.001,405.36749815940857
2,4,0.30831884453250585,0.884594447468699,0.8712053128280303,0.3590099805001327,0.8420195439739414,0.8294200170295216,0.0001,550.6674926280975
2,5,0.19243064187730727,0.9210669569951007,0.9122393732906874,0.3376858037462646,0.8599348534201955,0.849537267649561,9.05463412215599e-05,464.76517248153687
2,6,0.1374087201418212,0.9455634186173109,0.9392671897145805,0.34254021801855356,0.8599348534201955,0.8492631346235178,6.57963412215599e-05,688.9450836181641
2,7,0.11476282111663628,0.9553620032661949,0.9499396909357385,0.3590323269512832,0.8583061889250815,0.8471935315597287,3.52036587784401e-05,354.1856532096863
2,8,0.1058859947509151,0.9586281981491562,0.9536331080832682,0.34522622718751816,0.8664495114006515,0.8543387748868687,1.0453658778440105e-05,314.08676409721375
