experiment,best_epoch,accuracy,macro_f1,balanced_accuracy,roc_auc,ece,brier_score,f1_meningioma,sens_meningioma,f1_glioma,sens_glioma,f1_pituitary,sens_pituitary,model
candidate_efficientnet_b0_fold1,12,0.8923327895595432,0.8813165188434238,0.8881665473214769,0.9823023888606484,0.021912354191986973,0.14088602308941614,0.7920792079207921,0.8450704225352113,0.9225225225225225,0.8951048951048951,0.9293478260869565,0.9243243243243243,EfficientNet-B0
candidate_efficientnet_b0_fold2,8,0.8648208469055375,0.8558578558386802,0.8663387448030792,0.9617411484010728,0.02987420685128204,0.19828891900221882,0.756578947368421,0.8098591549295775,0.8766114180478821,0.8321678321678322,0.9343832020997376,0.956989247311828,EfficientNet-B0
candidate_efficientnet_b0_fold3,8,0.9378068739770867,0.9278027256320968,0.928784418221038,0.9938289746977281,0.040794082388354955,0.08461869273299652,0.8683274021352313,0.8591549295774648,0.9626998223801065,0.954225352112676,0.9523809523809523,0.972972972972973,EfficientNet-B0
candidate_efficientnet_b0_fold4,15,0.8809135399673735,0.8606356329063588,0.8620001477125513,0.9458681138911631,0.0562576863544022,0.1951362982565426,0.7388059701492538,0.7021276595744681,0.91651865008881,0.9052631578947369,0.9265822784810127,0.9786096256684492,EfficientNet-B0
candidate_efficientnet_b0_fold5,19,0.8711256117455138,0.8621892292105059,0.8710609154585177,0.9676387988806329,0.04615907781859209,0.1886688121853172,0.75,0.8085106382978723,0.8791208791208791,0.8421052631578947,0.9574468085106383,0.9625668449197861,EfficientNet-B0
